DateTime,AddedIPs,RemovedIPs
1593853921,4,0
1593854521,7,0
1593855721,4,1
1593856921,3,13
1593857522,9,4
1593858121,7,2
1593858721,9,0
1593859322,1,5
1593859922,6,0
1593861122,4,11
1593861722,7,0
1593862321,5,0
1593863521,2,4
1593864121,2,8
1593864722,8,0
1593865921,1,7
1593866521,0,2
1593867121,1,2
1593867721,2,0
1593868921,5,3
1593869521,4,5
1593870121,5,3
1593870721,4,0
1593871321,5,7
1593873121,6,6
1593873721,2,0
1593874321,2,0
1593874921,2,0
1593875521,4,1
1593876121,5,1
1593877321,3,4
1593879121,1,7
1593879721,2,1
1593880321,1,1
1593880922,4,0
1593881521,2,1
1593882121,1,13
1593883321,4,2
1593883921,2,0
1593884521,6,0
1593885122,5,1
1593885721,4,3
1593886922,1,4
1593887521,4,0
1593888122,4,2
1593889321,0,3
1593890521,4,9
1593891122,2,8
1593891721,1,4
1593892921,2,0
1593893522,4,4
1593894121,8,0
1593895321,5,4
1593896521,1,0
1593897721,5,5
1593898921,13,4
1593899522,7,0
1593901322,7,4
1593901921,5,7
1593902521,17,0
1593903721,2,4
1593904921,11,0
1593906121,11,19
1593906721,9,2
1593907321,2,2
1593908522,3,0
1593909721,9,0
1593910921,4,1
1593911521,11,10
1593912722,8,0
1593913321,4,0
1593914521,7,8
1593915721,4,0
1593916921,10,8
1593918122,2,6
1593918721,14,11
1593919921,8,0
1593920521,6,0
1593921722,8,4
1593922921,6,2
1593924122,11,5
1593925321,10,5
1593926521,9,0
1593927121,2,6
1593927721,4,0
1593928322,4,2
1593928922,2,0
1593930121,10,6
1593930721,1,2
1593931321,9,0
1593932521,5,0
1593933722,6,3
1593934921,1,1
1593936121,5,0
1593937321,3,1
1593938521,6,2
1593939721,6,8
1593940321,2,0
1593940921,1,3
1593941522,8,0
1593942121,4,7
1593942721,2,2
1593943321,5,0
1593944521,4,11
1593945121,3,0
1593945721,3,0
1593946322,2,0
1593946921,1,2
1593947521,3,0
1593948121,5,1
1593948721,1,0
1593949321,6,0
1593949922,7,0
1593950521,4,2
1593951121,7,0
1593951721,4,14
1593952321,2,0
1593952921,5,0
1593953521,3,0
1593954121,6,1
1593954721,5,0
1593955921,7,1
1593956521,5,0
1593957721,1,2
1593958321,2,0
1593958921,2,3
1593960121,5,3
1593960721,3,14
1593961921,14,0
1593962521,1,0
1593963721,4,11
1593964321,3,0
1593964921,6,3
1593965521,3,4
1593966721,0,4
1593967921,4,1
1593968521,2,0
1593969721,2,4
1593970321,2,21
1593971521,3,5
1593972121,4,0
1593973321,1,5
1593973921,1,0
1593974521,1,0
1593975722,2,4
1593976921,1,3
1593978121,8,0
1593978721,4,2
1593979321,4,0
1593979921,2,8
1593981121,5,0
1593981721,3,0
1593982921,1,14
1593984121,6,0
1593985321,6,13
1593985921,1,0
1593986522,4,3
1593987721,4,0
1593988321,1,8
1593989522,1,0
1593990122,5,1
1593992521,3,5
1593993721,3,2
1593994921,3,0
1593995521,3,2
1593996122,4,1
1593997321,0,5
1593998521,3,0
1593999721,3,0
1594000922,5,15
1594002121,5,6
1594002721,3,0
1594003322,9,0
1594004521,6,4
1594005721,4,17
1594006322,3,0
1594006922,1,5
1594008121,5,4
1594009321,5,13
1594010521,9,7
1594011721,7,3
1594012921,4,0
1594013521,5,7
1594014122,5,7
1594015321,5,5
1594015921,9,0
1594016521,4,6
1594017121,9,1
1594017721,5,0
1594018321,9,3
1594019522,4,2
1594020121,5,0
1594021322,3,9
1594022522,3,0
1594023721,4,10
1594024321,5,0
1594025521,10,2
1594026721,14,17
1594027322,5,9
1594028521,4,5
1594030321,5,3
1594030921,7,15
1594031521,8,0
1594032121,7,0
1594032722,12,2
1594033321,4,0
1594034521,14,3
1594035121,7,0
1594035721,8,2
1594036321,10,4
1594036921,4,0
1594037522,7,7
1594038121,5,14
1594039321,2,0
1594039922,0,2
1594040521,0,7
1594041121,4,0
1594041722,3,4
1594042321,15,0
1594042921,5,1
1594043521,4,0
1594044121,6,19
1594045321,2,0
1594045922,4,6
1594047121,2,1
1594047721,3,0
1594048921,4,13
1594050121,20,4
1594051321,3,10
1594051921,5,1
1594052522,1,0
1594053721,7,9
1594054322,1,1
1594054921,3,2
1594056121,8,5
1594057321,4,20
1594058522,7,1
1594059721,8,3
1594060921,6,6
1594062121,3,2
1594063321,4,6
1594064522,10,0
1594065721,0,26
1594066322,2,0
1594066921,3,6
1594067521,1,0
1594068721,5,1
1594069321,5,3
1594070521,4,0
1594071722,0,2
1594072921,9,14
1594074121,6,0
1594075322,5,6
1594075921,5,0
1594076522,1,0
1594077721,4,4
1594078321,8,1
1594079522,3,0
1594080121,3,0
1594081321,2,3
1594082521,1,4
1594083721,3,0
1594084321,4,1
1594085522,6,0
1594086121,1,3
1594086721,6,2
1594087322,1,1
1594087922,1,8
1594089121,4,0
1594090321,1,7
1594091521,9,2
1594092121,4,0
1594093321,2,5
1594094521,4,9
1594095722,8,5
1594096922,1,10
1594098121,4,16
1594099322,10,2
1594100522,5,20
1594101721,5,0
1594102921,5,3
1594103521,3,0
1594104721,0,4
1594105321,3,0
1594106522,7,2
1594107122,1,0
1594107721,7,0
1594108921,9,8
1594109521,7,0
1594110121,4,0
1594110721,3,26
1594111922,3,0
1594112521,6,0
1594113722,0,3
1594114321,2,1
1594114921,2,0
1594115521,4,0
1594116121,4,15
1594116722,2,10
1594117321,3,4
1594117921,7,0
1594118521,10,2
1594119121,3,0
1594120921,5,10
1594121521,4,0
1594122721,3,5
1594123321,6,0
1594124522,3,15
1594125722,4,1
1594126321,5,0
1594126921,2,0
1594127521,8,3
1594128121,6,0
1594128721,4,2
1594129322,6,10
1594129921,2,1
1594130522,2,6
1594131121,6,0
1594131721,3,2
1594132321,4,0
1594133522,2,21
1594134121,3,0
1594135321,8,3
1594135921,2,0
1594137122,4,5
1594137721,3,1
1594138921,7,0
1594139522,5,1
1594140121,1,0
1594140721,1,1
1594141321,1,0
1594141921,1,0
1594143122,5,8
1594143721,1,0
1594144921,4,3
1594145521,4,0
1594146122,6,2
1594147322,7,10
1594147921,2,0
1594148521,4,2
1594149121,5,7
1594150321,3,5
1594150922,5,4
1594152122,5,0
1594152722,2,3
1594153921,10,11
1594154521,1,14
1594155722,1,5
1594156921,7,1
1594158121,7,1
1594158722,4,4
1594159321,9,6
1594160521,3,1
1594161722,4,13
1594162922,12,4
1594164121,2,11
1594165322,2,4
1594165921,1,4
1594167122,3,0
1594167722,0,2
1594168921,2,0
1594169521,2,0
1594170121,3,2
1594170722,6,0
1594171921,4,9
1594172521,7,0
1594173121,7,3
1594173721,5,6
1594174321,2,6
1594176122,8,0
1594177321,1,0
1594178522,5,14
1594179721,9,3
1594180921,6,14
1594181521,9,3
1594182722,9,0
1594183321,3,3
1594184521,7,0
1594185721,14,1
1594186921,8,4
1594188122,5,2
1594188721,1,3
1594189921,2,2
1594190521,2,0
1594191721,7,2
1594192921,15,1
1594194121,4,1
1594195321,7,2
1594196522,3,3
1594197721,5,2
1594198921,12,1
1594200121,7,4
1594200721,3,1
1594201321,3,2
1594201921,4,4
1594203121,3,16
1594203721,1,0
1594204921,6,11
1594205521,4,3
1594206122,1,0
1594206722,1,3
1594207921,3,1
1594209121,1,26
1594209721,3,0
1594210921,0,6
1594211521,4,3
1594212721,5,2
1594213321,2,4
1594214521,6,4
1594215121,7,1
1594216321,11,3
1594217522,2,4
1594218121,5,0
1594219321,7,9
1594220521,3,1
1594221721,5,9
1594222321,5,2
1594222921,6,0
1594223521,11,12
1594224721,10,0
1594225321,5,5
1594225921,0,1
1594226521,1,1
1594227721,2,0
1594228921,2,3
1594229521,10,5
1594230722,9,0
1594231321,7,5
1594232521,5,11
1594233121,3,0
1594233721,3,0
1594234321,3,1
1594234921,13,2
1594235521,6,0
1594236121,4,14
1594236722,5,4
1594237322,9,3
1594238521,8,7
1594239721,4,0
1594240921,6,2
1594241521,5,2
1594242121,12,8
1594243321,5,3
1594243921,10,0
1594245121,4,10
1594245721,11,0
1594246321,2,1
1594246922,2,0
1594247521,9,9
1594248122,4,0
1594248721,7,13
1594249321,1,0
1594250521,8,5
1594251722,12,2
1594252921,6,0
1594254122,2,0
1594255322,4,1
1594255921,4,4
1594257722,4,0
1594258321,11,3
1594258922,5,0
1594259521,3,3
1594260121,2,0
1594260721,2,0
1594261321,3,0
1594262521,4,11
1594263722,8,1
1594264321,6,0
1594264921,6,0
1594265521,0,10
1594266121,7,10
1594266721,3,4
1594268521,3,7
1594269722,12,26
1594270322,1,8
1594270921,3,0
1594272122,6,0
1594272721,4,5
1594273321,5,2
1594274521,1,1
1594275121,8,0
1594275721,12,7
1594276321,10,0
1594276922,2,0
1594278122,10,6
1594278721,4,2
1594279321,6,0
1594280522,4,5
1594281721,2,11
1594282922,3,4
1594284122,2,0
1594284721,2,5
1594285321,6,0
1594285921,4,1
1594286521,2,0
1594287121,3,2
1594287721,2,0
1594288321,1,4
1594288921,2,11
1594290121,3,13
